threshold,f1_bad,recall_bad,precision_bad,f1_good
0.1,0.8487654320987654,0.9821428571428571,0.7472826086956522,0.7609756097560976
0.11,0.859375,0.9821428571428571,0.7638888888888888,0.784688995215311
0.12000000000000001,0.8647798742138365,0.9821428571428571,0.7724719101123596,0.7962085308056872
0.13,0.8666666666666667,0.975,0.78,0.8037383177570093
0.14,0.8708133971291866,0.975,0.7867435158501441,0.8120649651972158
0.15000000000000002,0.8717948717948718,0.9714285714285714,0.7906976744186046,0.815668202764977
0.16,0.8788368336025848,0.9714285714285714,0.8023598820058997,0.8291571753986332
0.17,0.8809135399673735,0.9642857142857143,0.8108108108108109,0.8359550561797753
0.18,0.8819672131147541,0.9607142857142857,0.8151515151515152,0.8392857142857143
0.19,0.8793388429752066,0.95,0.8184615384615385,0.8388520971302428
0.2,0.8822553897180763,0.95,0.8235294117647058,0.843956043956044
0.21000000000000002,0.88,0.9428571428571428,0.825,0.8427947598253275
0.22,0.882943143812709,0.9428571428571428,0.8301886792452831,0.8478260869565217
0.23,0.8840336134453781,0.9392857142857143,0.834920634920635,0.8509719222462203
0.24000000000000002,0.8855218855218855,0.9392857142857143,0.8375796178343949,0.853448275862069
0.25,0.8851351351351351,0.9357142857142857,0.8397435897435898,0.8540772532188842
0.26,0.8866328257191202,0.9357142857142857,0.842443729903537,0.8565310492505354
0.27,0.8862478777589134,0.9321428571428572,0.8446601941747572,0.8571428571428571
0.28,0.8923076923076924,0.9321428571428572,0.8557377049180328,0.8668076109936576
0.29000000000000004,0.8969072164948454,0.9321428571428572,0.8642384105960265,0.8739495798319328
0.30000000000000004,0.896551724137931,0.9285714285714286,0.8666666666666667,0.8744769874476988
0.31,0.901213171577123,0.9285714285714286,0.8754208754208754,0.8814968814968815
0.32,0.8954703832752613,0.9178571428571428,0.8741496598639455,0.8760330578512396
0.33,0.8986013986013986,0.9178571428571428,0.8801369863013698,0.8806584362139918
0.33999999999999997,0.8982456140350877,0.9142857142857143,0.8827586206896552,0.8811475409836066
0.35,0.897887323943662,0.9107142857142857,0.8854166666666666,0.8816326530612245
0.36,0.9026548672566371,0.9107142857142857,0.8947368421052632,0.8884381338742393
0.37,0.9026548672566371,0.9107142857142857,0.8947368421052632,0.8884381338742393
0.38,0.896797153024911,0.9,0.8936170212765957,0.8830645161290323
0.39,0.8983957219251337,0.9,0.896797153024911,0.8853118712273642
0.4,0.899641577060932,0.8964285714285715,0.9028776978417267,0.888
0.41000000000000003,0.8976660682226212,0.8928571428571429,0.9025270758122743,0.8862275449101796
0.42000000000000004,0.8896925858951176,0.8785714285714286,0.9010989010989011,0.8792079207920792
0.43000000000000005,0.8913043478260869,0.8785714285714286,0.9044117647058824,0.8814229249011858
0.44000000000000006,0.8925318761384335,0.875,0.9107806691449815,0.8840864440078585
0.45000000000000007,0.8905109489051095,0.8714285714285714,0.9104477611940298,0.8823529411764706
0.45999999999999996,0.8864468864468864,0.8642857142857143,0.9097744360902256,0.87890625
0.47,0.8880733944954129,0.8642857142857143,0.9132075471698113,0.8810916179337231
0.48,0.8872458410351202,0.8571428571428571,0.9195402298850575,0.8820116054158608
0.49,0.8872458410351202,0.8571428571428571,0.9195402298850575,0.8820116054158608
0.5,0.8831168831168831,0.85,0.918918918918919,0.8786127167630058
0.51,0.88268156424581,0.8464285714285714,0.9221789883268483,0.8790786948176583
0.52,0.8805970149253731,0.8428571428571429,0.921875,0.8773946360153256
0.53,0.8796992481203008,0.8357142857142857,0.9285714285714286,0.8783269961977186
0.54,0.8787878787878788,0.8285714285714286,0.9354838709677419,0.879245283018868
0.55,0.8723809523809524,0.8178571428571428,0.9346938775510204,0.874296435272045
0.56,0.8702290076335878,0.8142857142857143,0.9344262295081968,0.8726591760299626
0.5700000000000001,0.8702290076335878,0.8142857142857143,0.9344262295081968,0.8726591760299626
0.58,0.8659003831417624,0.8071428571428572,0.9338842975206612,0.8694029850746269
0.59,0.8653846153846154,0.8035714285714286,0.9375,0.8698884758364313
0.6,0.8565891472868217,0.7892857142857143,0.9364406779661016,0.8634686346863468
0.61,0.8515625,0.7785714285714286,0.9396551724137931,0.8608058608058609
0.62,0.8526522593320236,0.775,0.9475982532751092,0.8633879781420765
0.63,0.8537549407114624,0.7714285714285715,0.9557522123893806,0.8659420289855072
0.64,0.8469184890656064,0.7607142857142857,0.9551569506726457,0.8612612612612612
0.65,0.848,0.7571428571428571,0.9636363636363636,0.8637992831541219
0.66,0.8433734939759037,0.75,0.963302752293578,0.8607142857142858
0.67,0.8356997971602435,0.7357142857142858,0.9671361502347418,0.856637168141593
0.6799999999999999,0.8278688524590164,0.7214285714285714,0.9711538461538461,0.8526315789473684
0.69,0.8181818181818182,0.7071428571428572,0.9705882352941176,0.8466898954703833
0.7,0.8083333333333333,0.6928571428571428,0.97,0.8408304498269896
0.71,0.7983193277310925,0.6785714285714286,0.9693877551020408,0.8350515463917526
0.72,0.7898089171974523,0.6642857142857143,0.9738219895287958,0.8313458262350937
0.73,0.782051282051282,0.6535714285714286,0.973404255319149,0.8271186440677966
0.74,0.776824034334764,0.6464285714285715,0.9731182795698925,0.8243243243243243
0.75,0.7741935483870968,0.6428571428571429,0.972972972972973,0.8229342327150084
0.76,0.7688984881209503,0.6357142857142857,0.9726775956284153,0.8201680672268907
0.77,0.7678958785249458,0.6321428571428571,0.9779005524861878,0.8207705192629816
0.78,0.7652173913043478,0.6285714285714286,0.9777777777777777,0.8193979933110368
0.79,0.759825327510917,0.6214285714285714,0.9775280898876404,0.8166666666666667
0.8,0.7461368653421634,0.6035714285714285,0.976878612716763,0.8099173553719008
0.8099999999999999,0.7494456762749445,0.6035714285714285,0.9883040935672515,0.8138385502471169
0.82,0.7427293064876958,0.5928571428571429,0.9940119760479041,0.8117839607201309
0.83,0.7370786516853932,0.5857142857142857,0.9939393939393939,0.8091353996737357
0.84,0.7227272727272728,0.5678571428571428,0.99375,0.8025889967637541
0.85,0.7050691244239631,0.5464285714285714,0.9935064935064936,0.7948717948717948
0.86,0.6838407494145199,0.5214285714285715,0.9931972789115646,0.786053882725832
0.87,0.6713947990543735,0.5071428571428571,0.993006993006993,0.7811023622047244
0.88,0.6555023923444976,0.48928571428571427,0.9927536231884058,0.775
0.89,0.639225181598063,0.4714285714285714,0.9924812030075187,0.7689922480620155
0.9,0.6157635467980296,0.44642857142857145,0.9920634920634921,0.7607361963190185
